연도,출생아수_전년대비변화율,출생아수_감소여부
1970,,False
1971,0.018008334616473443,False
1972,-0.07025263155840367,True
1973,0.013372446944730054,False
1974,-0.04422275641855533,True
1975,-0.05287362798716544,True
1976,-0.08889740626751941,True
1977,0.03642706362052972,False
1978,-0.09040042939931348,True
1979,0.1491099306273378,False
1980,0.00019242606376268512,False
1981,0.005301129416400485,False
1982,-0.022016142327321964,True
1983,-0.09331118739331756,True
1984,-0.1226826842443981,True
1985,-0.02860729142122098,True
1986,-0.029703015611245998,True
1987,-0.019162949534526463,True
1988,0.014845366774014046,False
1989,0.010012762758019322,False
1990,0.0161190183147204,False
1991,0.09163231948877848,False
1992,0.030175883825032557,False
1993,-0.020326327055146032,True
1994,0.007486456205837655,False
1995,-0.00854843070779343,True
1996,-0.03327739084221415,True
1997,-0.02290423103297623,True
1998,-0.05004486270236341,True
1999,-0.032615641667471995,True
2000,0.03129048057898909,False
2001,-0.12522477342994487,True
2002,-0.11255433676111826,True
2003,-0.0037733115185616395,True
2004,-0.036518556226213805,True
2005,-0.08019783712612016,True
2006,0.029751063921934273,False
2007,0.09975008798939267,False
2008,-0.06225569721147617,True
2009,-0.045167120276802364,True
2010,0.05692268612495477,False
2011,0.002326813010585571,False
2012,0.028190084135252924,False
2013,-0.09925704261686097,True
2014,-0.002337010688387098,True
2015,0.006855213751765454,False
2016,-0.07339309338077638,True
2017,-0.11931774824427743,True
2018,-0.08650505490942528,True
2019,-0.07388119526837233,True
2020,-0.1002358958093803,True
2021,-0.04323687196378012,True
2022,-0.043659474520459596,True
2023,-0.07699469472602793,True
