연도,출생아수(명),자연증가건수(명),조출생률(천명당),자연증가율(천명당),합계출산율(명),출생성비(명)
1970,1006645.0,748056.0,31.2,23.2,4.53,109.5
1971,1024773.0,787245.0,31.2,23.9,4.54,109.0
1972,952780.0,742709.0,28.4,22.2,4.12,109.5
1973,965521.0,698061.0,28.3,20.5,4.07,104.6
1974,922823.0,674016.0,26.6,19.4,3.77,109.4
1975,874030.0,603373.0,24.8,17.1,3.43,112.4
1976,796331.0,529474.0,22.2,14.8,3.0,110.7
1977,825339.0,576085.0,22.7,15.8,2.99,104.2
1978,750728.0,498430.0,20.3,13.5,2.64,111.3
1979,862669.0,622683.0,23.0,16.6,2.9,106.4
1980,862835.0,585551.0,22.6,15.4,2.82,105.3
1981,867409.0,629928.0,22.4,16.3,2.57,107.1
1982,848312.0,602545.0,21.6,15.3,2.39,106.8
1983,769155.0,514592.0,19.3,12.9,2.06,107.3
1984,674793.0,438348.0,16.7,10.8,1.74,108.3
1985,655489.0,415071.0,16.1,10.2,1.66,109.4
1986,636019.0,396763.0,15.4,9.6,1.58,111.7
1987,623831.0,380327.0,15.0,9.1,1.53,108.8
1988,633092.0,397313.0,15.1,9.5,1.55,113.2
1989,639431.0,402613.0,15.1,9.5,1.56,111.8
1990,649738.0,408122.0,15.2,9.5,1.57,116.5
1991,709275.0,467005.0,16.4,10.8,1.71,112.4
1992,730678.0,494516.0,16.7,11.3,1.76,113.6
1993,715826.0,481569.0,16.0,10.8,1.654,115.3
1994,721185.0,478746.0,16.0,10.6,1.656,115.2
1995,715020.0,472182.0,15.7,10.3,1.634,113.2
1996,691226.0,450077.0,15.0,9.8,1.574,111.5
1997,675394.0,430701.0,14.5,9.3,1.537,108.2
1998,641594.0,395769.0,13.7,8.4,1.464,110.1
1999,620668.0,372934.0,13.2,7.9,1.425,109.5
2000,640089.0,391349.0,13.5,8.2,1.48,110.1
2001,559934.0,316121.0,11.7,6.6,1.309,109.0
2002,496911.0,249387.0,10.3,5.2,1.178,109.9
2003,495036.0,248573.0,10.2,5.1,1.191,108.6
2004,476958.0,230738.0,9.8,4.8,1.164,108.2
2005,438707.0,192833.0,9.0,4.0,1.085,107.8
2006,451759.0,207597.0,9.2,4.2,1.132,107.6
2007,496822.0,250340.0,10.1,5.1,1.259,106.2
2008,465892.0,219779.0,9.4,4.4,1.192,106.4
2009,444849.0,197907.0,9.0,4.0,1.149,106.4
2010,470171.0,214766.0,9.4,4.3,1.226,106.9
2011,471265.0,213869.0,9.4,4.3,1.244,105.7
2012,484550.0,217329.0,9.6,4.3,1.297,105.7
2013,436455.0,170198.0,8.6,3.4,1.187,105.3
2014,435435.0,167743.0,8.6,3.3,1.205,105.3
2015,438420.0,162525.0,8.6,3.2,1.239,105.3
2016,406243.0,125416.0,7.9,2.5,1.172,105.0
2017,357771.0,72237.0,7.0,1.4,1.052,106.3
2018,326822.0,28002.0,6.4,0.5,0.977,105.4
2019,302676.0,7566.0,5.9,0.1,0.918,105.5
2020,272337.0,-32611.0,5.3,-0.6,0.837,104.8
2021,260562.0,-57118.0,5.1,-1.1,0.808,105.1
2022,249186.0,-123753.0,4.9,-2.4,0.778,104.7
2023,230000.0,-122800.0,4.5,-2.4,0.72,105.1
